team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
SC Corinthians Paulista,Corinthians,2024,Brazil,25,12,13,0,5,4,1,10,7,3,10,1,9,1,1.58,0.46,17,11,20,17,22,31,-9,53,29,24,17,5,12,19,5,-14,102,63,237,73,90,62,5,3,2,11,8,3,12,3,9,5,3,2,147,83,64,77,43,34,50,55,46,304,171,133,147,89,58,157,82,75,337,161,176,11,8,3,16,9,7,-5,-1,-4,4,2,2,12,6,6,9,4,5,0.96,1,0.92,2.12,2.42,1.85,0.88,1.42,0.38,1.24,1,1.46,1.08,1.42,0.77,0.44,0.67,0.23,0.64,0.75,0.54,22,17,9,4,1,0,10,9,6,3,1,0,12,8,3,1,0,0,3,8,16,21,24,25,2,3,6,9,11,12,1,5,10,12,13,13,88,68,36,16,4,0,83,75,50,25,8,0,92,62,23,8,0,0,12,32,64,84,96,100,17,25,50,75,92,100,8,38,77,92,100,100,17,7,2,9,5,2,8,2,0,68,28,8,75,42,17,62,15,0,20,33,8,40,20,25,15,44,67,23,48,25,69,20,25,15,11,4,7,44,33,54,17,7,10,68,58,77,5,4,1,20,33,8,16,17,15,48,50,46,36,33,38,5.88,6.92,4.92,3.08,3.58,2.62,96,80,72,64,52,52,44,32,1.50,1.79,1.23,1.40,1.20,1.59,40,0,1,3,4,5,2,2,0,5,6,1,0,4,6,6,2,2,4,40,58,23,40,8,69,12
CR Vasco da Gama,Vasco da Gama,2024,Brazil,24,12,12,0,10,7,3,4,3,1,10,2,8,1.42,2,0.83,8,8,15,8,29,34,-5,63,37,26,20,9,17,17,3,-8,74,54,120,63,63,63,6,4,2,12,7,5,7,2,5,9,6,3,103,48,55,65,37,28,47,50,45,240,121,119,117,66,51,123,55,68,318,174,144,10,7,3,15,7,8,-5,0,-5,5,4,1,10,4,6,9,4,5,1.04,1.33,0.75,2.63,3.08,2.17,1.21,1.67,0.75,1.42,1.42,1.42,1.04,1.17,0.92,0.42,0.58,0.25,0.63,0.58,0.67,23,19,12,5,2,1,11,11,7,4,2,1,12,8,5,1,0,0,1,5,12,19,22,23,1,1,5,8,10,11,0,4,7,11,12,12,96,79,50,21,8,4,92,92,58,33,17,8,100,67,42,8,0,0,4,21,50,79,92,96,8,8,42,67,83,92,0,33,58,92,100,100,15,6,3,8,3,2,7,3,1,63,25,13,67,25,17,58,25,8,42,58,25,0,25,33,17,50,58,42,29,17,42,38,50,25,12,7,5,50,58,42,17,7,10,71,58,83,4,2,2,17,17,17,21,33,8,42,33,50,38,33,42,4.29,4.00,4.58,2.71,3.08,2.33,96,83,71,46,25,17,13,8,1.26,1.36,1.16,1.63,1.43,1.82,63,1,1,2,3,5,5,5,3,4,5,1,5,3,2,6,2,4,6,17,25,8,42,17,67,8
EC Bahia,Bahia,2024,Brazil,25,12,13,0,11,8,3,6,2,4,8,2,6,1.56,2.17,1,7,6,8,7,34,27,7,61,24,37,17,17,7,20,10,-3,66,63,69,83,155,58,7,6,1,15,5,10,4,2,2,11,7,4,115,60,55,59,28,31,57,56,57,273,135,138,141,72,69,132,63,69,284,145,139,12,7,5,12,5,7,0,2,-2,7,4,3,11,6,5,7,2,5,1.28,1.5,1.08,2.44,2,2.85,1.36,1.42,1.31,1.08,0.58,1.54,0.96,1,0.92,0.48,0.58,0.38,0.48,0.42,0.54,24,19,12,5,1,0,11,7,4,1,1,0,13,12,8,4,0,0,1,6,13,20,24,25,1,5,8,11,11,12,0,1,5,9,13,13,96,76,48,20,4,0,92,58,33,8,8,0,100,92,62,31,0,0,4,24,52,80,96,100,8,42,67,92,92,100,0,8,38,69,100,100,18,6,0,9,3,0,9,3,0,72,24,0,75,25,0,69,23,0,44,67,23,25,28,50,8,60,42,77,16,17,15,44,58,31,14,7,7,56,58,54,14,5,9,56,42,69,4,3,1,16,25,8,28,33,23,44,50,38,28,17,38,4.60,5.00,4.23,2.36,2.33,2.38,76,64,56,40,36,28,20,8,1.43,1.54,1.33,1.41,1.11,1.68,52,2,4,0,3,5,2,5,7,6,1,3,3,3,3,3,6,1,4,24,17,31,32,17,46,4
AC Goianiense,Atlético GO,2024,Brazil,25,12,13,0,4,2,2,6,3,3,15,7,8,0.72,0.75,0.69,20,20,16,20,21,40,-19,61,31,30,11,10,20,20,-9,-10,107,98,117,56,54,58,3,1,2,15,8,7,8,3,5,9,6,3,111,53,58,92,58,34,46,45,46,280,136,144,138,64,74,142,72,70,302,155,147,8,2,6,17,4,13,-9,-2,-7,2,1,1,13,8,5,10,3,7,0.76,0.92,0.62,2.44,2.58,2.31,0.84,0.92,0.77,1.6,1.67,1.54,1,0.5,1.46,0.32,0.17,0.46,0.68,0.33,1,24,18,12,6,1,0,12,9,7,2,1,0,12,9,5,4,0,0,1,7,13,19,24,25,0,3,5,10,11,12,1,4,8,9,13,13,96,72,48,24,4,0,100,75,58,17,8,0,92,69,38,31,0,0,4,28,52,76,96,100,0,25,42,83,92,100,8,31,62,69,100,100,16,6,2,5,1,0,11,5,2,64,24,8,42,8,0,85,38,15,16,17,15,3,12,8,15,60,67,54,32,25,38,36,50,23,11,8,3,44,67,23,17,10,7,68,83,54,6,1,5,24,8,38,8,8,8,52,67,38,40,25,54,4.44,4.42,4.46,3.68,4.83,2.62,88,76,72,64,48,24,20,8,1.44,1.47,1.42,1.42,1.40,1.44,48,1,2,1,1,6,1,4,2,3,3,5,4,2,4,7,4,3,8,24,25,23,60,58,62,8
SC Internacional,Internacional,2024,Brazil,22,10,12,1,8,4,4,8,4,4,6,2,4,1.45,1.6,1.33,10,15,4,10,22,19,3,41,22,19,12,10,10,9,2,1,90,75,108,105,90,120,7,3,4,12,7,5,5,1,4,10,4,6,108,69,39,67,23,44,51,52,50,245,131,114,119,70,49,126,61,65,352,169,183,8,3,5,6,2,4,2,1,1,5,2,3,13,7,6,4,1,3,1.27,1.3,1.25,1.86,2.2,1.58,1,1.2,0.83,0.86,1,0.75,0.64,0.5,0.75,0.36,0.3,0.42,0.27,0.2,0.33,20,12,7,2,0,0,9,7,5,1,0,0,11,5,2,1,0,0,2,10,15,20,22,22,1,3,5,9,10,10,1,7,10,11,12,12,91,55,32,9,0,0,90,70,50,10,0,0,92,42,17,8,0,0,9,45,68,91,100,100,10,30,50,90,100,100,8,58,83,92,100,100,11,3,0,4,1,0,7,2,0,50,14,0,40,10,0,58,17,0,36,40,33,2,32,30,33,55,70,42,23,10,33,45,40,50,16,8,8,73,80,67,15,7,8,68,70,67,2,1,1,9,10,8,23,20,25,59,70,50,18,10,25,4.91,6.90,3.25,3.05,2.3,3.67,82,77,59,41,27,23,23,14,1.43,1.75,1.17,1.21,1.12,1.29,32,0,1,1,4,2,3,4,2,5,1,1,0,2,4,1,3,3,4,36,40,33,27,20,33,9
Clube Atlético Bragantino,Bragantino,2024,Brazil,24,11,13,0,8,7,1,6,1,5,10,3,7,1.25,2,0.62,11,10,17,11,29,30,-1,59,27,32,16,13,11,19,5,-6,74,62,90,72,90,62,3,2,1,17,8,9,4,1,3,12,8,4,129,54,75,65,34,31,47,46,47,274,123,151,134,61,73,140,62,78,328,150,178,17,11,6,16,7,9,1,4,-3,8,5,3,8,4,4,8,2,6,1.33,1.73,1,2.46,2.45,2.46,1.21,1.45,1,1.25,1,1.46,1.38,1.64,1.15,0.71,1,0.46,0.67,0.64,0.69,24,19,13,3,0,0,11,8,7,1,0,0,13,11,6,2,0,0,0,5,11,21,24,24,0,3,4,10,11,11,0,2,7,11,13,13,100,79,54,13,0,0,100,73,64,9,0,0,100,85,46,15,0,0,0,21,46,87,100,100,0,27,36,91,100,100,0,15,54,85,100,100,22,8,2,10,5,2,12,3,0,92,33,8,91,45,18,92,23,0,33,64,8,20,13,18,8,71,73,69,17,9,23,50,73,31,9,5,4,38,45,31,9,2,7,38,18,54,8,5,3,33,45,23,33,45,23,33,36,31,33,18,46,5.38,4.91,5.77,2.71,3.09,2.38,92,83,83,75,71,54,50,25,1.44,1.46,1.43,1.49,1.51,1.47,63,8,1,2,3,5,3,2,1,4,2,2,5,3,5,4,3,2,4,25,9,38,42,27,54,17
Criciuma EC,Criciúma,2024,Brazil,24,13,11,0,7,4,3,7,6,1,10,3,7,1.17,1.38,0.91,14,12,13,14,32,35,-3,67,35,32,17,15,18,17,-1,-2,68,69,66,62,65,58,3,2,1,19,10,9,2,1,1,15,9,6,106,64,42,71,43,28,43,43,44,279,160,119,139,81,58,140,79,61,329,173,156,12,6,6,13,6,7,-1,0,-1,9,5,4,8,5,3,7,3,4,1.46,1.54,1.36,2.79,2.69,2.91,1.33,1.31,1.36,1.46,1.38,1.55,1.04,0.92,1.18,0.5,0.46,0.55,0.54,0.46,0.64,24,20,15,5,1,1,13,10,6,3,1,1,11,10,9,2,0,0,0,4,9,19,23,23,0,3,7,10,12,12,0,1,2,9,11,11,100,83,63,21,4,4,100,77,46,23,8,8,100,91,82,18,0,0,0,17,37,79,96,96,0,23,54,77,92,92,0,9,18,82,100,100,17,5,3,8,2,2,9,3,1,71,21,13,62,15,15,82,27,9,29,31,27,2,13,15,9,79,77,82,8,8,9,63,69,55,16,10,6,67,77,55,12,7,5,50,54,45,3,1,2,13,8,18,38,38,36,33,38,27,29,23,36,4.42,4.92,3.82,2.96,3.31,2.55,83,79,71,57,38,25,21,17,1.43,1.53,1.31,1.61,1.67,1.55,79,3,0,1,6,5,5,5,1,6,1,2,3,6,3,6,5,3,6,29,46,9,42,23,64,13
EC Juventude,Juventude,2024,Brazil,25,12,13,0,7,6,1,8,4,4,10,2,8,1.16,1.83,0.54,13,9,19,13,29,35,-6,64,29,35,18,11,11,24,7,-13,78,60,106,64,98,49,6,5,1,17,7,10,4,1,3,10,7,3,103,53,50,84,29,55,48,47,48,254,134,120,128,69,59,126,65,61,314,151,163,13,9,4,14,5,9,-1,4,-5,6,4,2,13,7,6,6,1,5,1.24,1.58,0.92,2.56,2.42,2.69,1.16,1.5,0.85,1.4,0.92,1.85,1.08,1.17,1,0.52,0.75,0.31,0.56,0.42,0.69,23,22,12,4,2,1,11,10,5,2,1,0,12,12,7,2,1,1,2,3,13,21,23,24,1,2,7,10,11,12,1,1,6,11,12,12,92,88,48,16,8,4,92,83,42,17,8,0,92,92,54,15,8,8,8,12,52,84,92,96,8,17,58,83,92,100,8,8,46,85,92,92,17,10,0,8,6,0,9,4,0,68,40,0,67,50,0,69,31,0,28,50,8,32,24,42,8,68,58,77,16,8,23,40,58,23,14,8,6,56,67,46,14,5,9,56,42,69,5,3,2,20,25,15,24,33,15,52,58,46,24,8,38,4.12,4.42,3.85,3.36,2.42,4.23,84,84,80,60,48,36,28,20,1.26,1.37,1.15,1.67,1.56,1.77,68,3,0,4,3,4,4,4,1,6,3,2,2,3,7,5,3,3,7,32,33,31,40,17,62,8
Cuiabá EC,Cuiabá,2024,Brazil,24,13,11,0,5,2,3,7,4,3,12,7,5,0.92,0.77,1.09,18,19,11,18,23,35,-12,58,27,31,11,12,16,19,-5,-7,94,106,83,62,73,52,5,4,1,11,5,6,11,7,4,7,2,5,97,64,33,71,36,35,45,47,41,234,135,99,111,60,51,123,75,48,290,164,126,13,6,7,17,7,10,-4,-1,-3,5,1,4,10,7,3,9,5,4,1.04,0.77,1.36,2.42,2.08,2.82,0.96,0.85,1.09,1.46,1.23,1.73,1.25,1,1.55,0.54,0.46,0.64,0.71,0.54,0.91,21,16,11,5,3,1,10,8,6,2,1,0,11,8,5,3,2,1,3,8,13,19,21,23,3,5,7,11,12,13,0,3,6,8,9,10,88,67,46,21,13,4,77,62,46,15,8,0,100,73,45,27,18,9,12,33,54,79,87,96,23,38,54,85,92,100,0,27,55,73,82,91,17,7,4,8,3,1,9,4,3,71,29,17,62,23,8,82,36,27,21,15,27,3,21,31,9,46,38,55,46,54,36,29,15,45,12,6,6,50,46,55,16,10,6,67,77,55,3,2,1,13,15,9,21,8,36,42,54,27,38,38,36,4.04,4.92,3.00,2.96,2.77,3.18,88,71,63,54,33,33,21,17,1.23,1.31,1.14,1.54,1.30,1.83,67,3,2,2,3,4,4,2,0,3,1,3,4,4,6,2,6,5,4,29,31,27,50,54,45,0
Fortaleza EC,Fortaleza,2024,Brazil,24,13,11,0,14,10,4,6,3,3,4,0,4,2,2.54,1.36,2,1,7,2,30,22,8,52,26,26,20,10,6,16,14,-6,72,58,99,98,196,62,8,7,1,12,6,6,5,0,5,18,13,5,117,73,44,73,36,37,42,45,38,242,145,97,116,71,45,126,74,52,320,185,135,17,12,5,12,3,9,5,9,-4,9,7,2,12,6,6,3,0,3,1.63,2.08,1.09,2.17,2,2.36,1.25,1.54,0.91,0.92,0.46,1.45,1.21,1.15,1.27,0.71,0.92,0.45,0.5,0.23,0.82,23,16,9,3,1,0,13,7,4,2,0,0,10,9,5,1,1,0,1,8,15,21,23,24,0,6,9,11,13,13,1,2,6,10,10,11,96,67,38,13,4,0,100,54,31,15,0,0,91,82,45,9,9,0,4,33,62,87,96,100,0,46,69,85,100,100,9,18,55,91,91,100,17,9,2,10,5,0,7,4,2,71,38,8,77,38,0,64,36,18,58,77,36,37,33,54,9,50,46,55,21,0,45,75,100,45,15,10,5,63,77,45,10,3,7,42,23,64,6,3,3,25,23,27,38,54,18,50,46,55,13,0,27,4.88,5.62,4.00,3.04,2.77,3.36,88,79,79,75,67,46,33,25,1.24,1.35,1.10,1.57,1.22,1.99,33,5,2,5,1,6,2,5,3,1,1,2,1,4,4,2,1,3,4,25,23,27,17,0,36,17
